id,coef,Chromosome,Start,End
2210,-0.1787035692784133,17,38784700,39114890
2218,-0.11863318942005391,17,41577520,41644979
177,-0.11322238118720845,1,120405944,120737345
765,-0.10082171829168285,6,32672983,32702995
2017,-0.0924118580756968,16,63246412,66317225
486,-0.08908914743619223,3,193425674,193467200
2188,-0.08430396885399777,17,35344057,35385941
2828,-0.0793496964728021,23,152552851,152570071
1998,-0.06570483363804763,16,49237703,50174920
1191,-0.05476527410947596,8,144953439,145949490
230,-0.0402327030880027,1,193652057,199041703
2501,-0.03292241794965073,19,39397840,40350432
1559,-0.03112733529392392,11,77881751,77985428
1558,-0.03112733529392392,11,77295422,77867327
2078,-0.03110660019518463,17,8567837,9872633
2077,-0.03110660019518463,17,7522884,8559106
2068,-0.03110660019518463,17,2286862,2330659
2180,-0.027506856412150782,17,34268102,34553000
2750,-0.019455036645749768,22,40072147,41213949
1009,-0.017002865653687388,8,5677578,5923347
2026,-0.004080250497491,16,69391442,69397102
1206,-0.003178641084414291,9,6631759,6684944
818,0.00030626962296936844,6,81088018,85574506
669,0.0005159267653217503,5,58484078,60277014
621,0.007996032555535437,5,725942,745859
623,0.007996032555535437,5,802518,826044
1838,0.024682625659637192,14,53877628,54699527
576,0.02513495394591858,4,93240865,100160841
1871,0.027708052177061127,14,105602756,105630089
1900,0.034013841057178196,15,26214008,26884885
1079,0.04112339984261554,8,39094753,39268591
1869,0.04864155492912789,14,105082760,105322191
1352,0.06170058582962812,10,71007045,72336589
192,0.09073997374348441,1,146581869,146634734
1906,0.11191094267101953,15,32796260,39569934
1243,0.12381520785828298,9,39355550,40238048
1656,0.13005152852717788,12,63340667,63566937
1881,0.1352312902106057,15,18362555,18431773
1902,0.13861126508229765,15,32447707,32511475
2184,0.6461237557214607,17,34900309,34977994
